1_nitropropane,-4.49
14_dichlorobenzene,-6.28
14_dioxane,-4.97
2_methylpropan_2_ol,-3.4
2_methylpropene,-2.63
4_bromophenol,-7.86
4_hydroxybenzaldehyde,-8.16
acetic_acid,-3.64
acetophenone,-7.1
aniline,-6.1
anisole,-5.49
benzaldehyde,-6.11
benzamide,-9.13
benzene,-4.5
benzonitrile,-6.28
bromobenzene,-5.85
but_1_ene,-2.48
butan_1_ol,-4.2
butanoic_acid,-4.81
butanone,-4.09
chlorobenzene,-5.21
cyclopentanone,-5.26
diethylamine,-4.12
dimethylamine,-2.75
ethanol,-2.96
ethyl_acetate,-4.4
ethylamine,-2.77
ethylbenzene,-5.67
fluorobenzene,-3.64
heptan_1_ol,-6.49
heptan_2_one,-6.12
hexan_1_ol,-5.04
hexan_2_one,-5.47
hexanoic_acid,-6.99
iodobenzene,-6.5
m_xylene,-5.71
methanol,-2.25
methyl_acetate,-3.82
methyl_benzoate,-7.19
methyl_hexanoate,-6.39
methyl_pentanoate,-5.71
methyl_propanoate,-4.43
methylamine,-2.53
n_butyl_acetate,-5.59
n_butylamine,-5.35
N_methylaniline,-6.58
n_octane,-5.39
n_propyl_acetate,-5.03
n_propylamine,-3.59
naphthalene,-7.55
nitrobenzene,-6.92
nitromethane,-3.52
o_cresol,-6.51
o_xylene,-6.07
p_cresol,-6.32
pentan_1_ol,-4.73
pentan_2_one,-4.81
phenol,-6.14
propan_1_ol,-3.64
propanoic_acid,-4.09
propanone,-3.35
pyridine,-5.01
toluene,-5.12
triethyl_phosphate,-7.51
trimethyl_phosphate,-7.24
trimethylamine,-3.09