butan_1_ol,-5.28,158.978
heptan_1_ol,-7.53,231.66
hexan_1_ol,-6.67,207.282
pentan_1_ol,-5.9,182.924
propan_1_ol,-4.41,134.556
12_ethanediol,-5.98,120.061
14_dichlorobenzene,-6.32,179.616
14_dioxane,-6.21,146.316
butanone,-5.43,148.104
2_methylpyrazine,-6.99,154.478
2_methylpyridine,-6.98,160.826
222_trifluoroethanol,-3.03,128.755
26_dimethylpyridine,-7.74,185.283
3_methylpyridine,-7.35,160.369
4_methylpyridine,-7.5,160.244
acetaldehyde,-3.65,100.417
ethanamide,-7.05,117.254
acetic_acid,-4.74,111.87
propanone,-4.42,124.665
acetonitrile,-4.44,96.412
acetophenone,-7.81,188.909
ammonia,-2.41,62.232
aniline,-7.34,159.079
anisole,-6.24,176.496
benzaldehyde,-7.09,168.078
benzamide,-11.06,182.384
benzene,-4.64,142.845
benzonitrile,-7.22,166.898
bromobenzene,-6.07,166.377
butanoic_acid,-5.99,160.091
n_butyl_acetate,-6.71,211.484
chlorobenzene,-5.45,161.211
trichloromethane,-4.13,129.197
cyclohexane,-4.45,167.066
diethylamine,-5.23,157.896
diethyl_ether,-4.32,156.159
diethyl_sulfide,-6.4,172.471
dimethylamine,-3.69,115.134
ethanol,-3.94,110.185
ethyl_acetate,-5.58,162.605
ethylamine,-4.02,115.505
ethylbenzene,-5.84,190.451
ethyl_phenyl_ether,-7.16,202.263
fluorobenzene,-4.25,149.511
formaldehyde,0.12,73.972
hexanoic_acid,-7.51,208.827
hydrazine,-4.42,83.445
hydrogen_sulfide,-0.51,70.492
iodobenzene,-6.6,173.613
m_cresol,-6.7,177.442
m_xylene,-5.86,190.028
methanol,-3.32,84.309
methyl_acetate,-4.9,136.765
methylamine,-3.17,90.362
methyl_benzoate,-7.81,202.517
methyl_hexanoate,-7.24,233.686
methyl_pentanoate,-6.68,209.323
methyl_propanoate,-5.48,160.493
morpholine,-6.72,151.543
n_octane,-5.25,243.846
naphthalene,-7.89,194.789
nitrobenzene,-7.78,171.855
nitromethane,-4.68,106.242
o_cresol,-7.55,175.327
o_xylene,-6.23,184.859
4_bromophenol,-8.59,177.412
p_cresol,-7.59,177.686
4_hydroxybenzaldehyde,-10.3,178.958
pentanoic_acid,-6.61,184.471
phenol,-7.14,153.746
piperidine,-6.37,161.954
propanoic_acid,-5.37,135.63
n_propyl_acetate,-6.35,187.055
n_propylamine,-4.73,139.805
pyridine,-6.45,136.379
pyrrole,-5.5,124.818
quinoline,-10.23,189.452
2_methylpropan_2_ol,-4.48,152.4
tetrahydropyran,-5.84,156.833
thiophene,-5.83,129.904
thiophenol,-7.61,166.053
toluene,-5.48,166.45
triethyl_phosphate,-10.9,272.981
trimethylamine,-3.9,135.848
trimethyl_phosphate,-9.74,195.858
water,-2.05,55.683