solute,es_mobley,cav_mobley,disp_mobley,np_mobley,expt,es_SLIC,np_SLIC
cis_12_dimethylcyclohexane,0.02,17.94,-15.91,2.03,1.58,-0.05,2.45
cyanobenzene,-4.14,15.1,-13.34,1.76,-4.1,-5.19,2.36
cyclohepta_135_triene,-1.97,14.7,-12.58,2.12,-0.99,-2.74,2.35
cycloheptanol,-5.14,16.69,-15.7,0.99,-5.48,-6.34,2.42
cyclohexane,0.01,14.73,-13.07,1.66,1.23,-0.04,2.36
cyclohexanol,-5.28,15.12,-14.1,1.02,-5.46,-6.85,2.37
cyclohexanone,-5.14,15.38,-14.08,1.3,-4.91,-5.86,2.36
cyclohexene,-0.53,14.4,-12.31,2.09,0.37,-0.73,2.34
cyclohexylamine,-5.08,15.58,-14.44,1.14,-4.59,-4.96,2.37
cyclopentane,0.01,12.86,-11.34,1.52,1.2,-0.06,2.30
cyclopentanol,-5.27,14.18,-13.06,1.12,-5.49,-6.71,2.32
cyclopentanone,-4.85,13.61,-12.47,1.14,-4.7,-5.69,2.31
cyclopentene,-0.58,12.81,-10.85,1.96,0.56,-0.85,2.28
cyclopropane,-0.03,9.85,-7.18,2.67,0.75,-0.20,2.19
decan_1_ol,-5.16,25.7,-23.03,2.67,-3.64,-7.05,2.76
decan_2_one,-5.26,25.29,-22.01,3.28,-2.34,-5.66,2.74
di_isopropyl_sulfide,-2.56,18.52,-15.86,2.66,-1.21,-2.65,2.47
di_n_butyl_ether,-2.65,22.53,-19.29,3.24,-0.83,-2.50,2.65
di_n_propyl_ether,-2.67,18.34,-15.46,2.88,-1.16,-2.52,2.50
di_n_propyl_sulfide,-2.15,19.04,-16.4,2.64,-1.28,-2.32,2.53
di_n_propylamine,-4.76,18.27,-15.77,2.5,-3.65,-4.32,2.50
dibromomethane,-1.1,12.36,-10.39,1.97,-1.96,-1.62,2.19
dichloromethane,-1.6,10.3,-8.47,1.83,-1.31,-2.18,2.16
diethoxymethoxybenzene,-7.19,25.95,-23.2,2.75,-5.23,-6.99,2.76
diethyl_disulfide,-2.51,16.45,-14.01,2.44,-1.64,-2.84,2.45
diethyl_ether,-3.02,13.88,-11.56,2.32,-1.59,-2.82,2.35
diethyl_malonate,-8.27,21.39,-19.57,1.82,-6,-11.96,2.63
diethyl_succinate,-10.32,23.07,-21.22,1.85,-5.71,-11.05,2.71
diethyl_sulfide,-2.18,15.05,-12.66,2.39,-1.46,-2.43,2.38
diethylamine,-4.93,14.48,-12.27,2.21,-4.07,-4.49,2.35
diiodomethane,-2.3,13.46,-11.9,1.56,-2.49,-3.51,2.23
diisopropyl_ether,-3.01,17.63,-14.73,2.9,-0.53,-2.19,2.45
diisopropylamine,-4.6,17.82,-15.19,2.63,-3.22,-3.88,2.45
dimethoxymethane,-4.33,12.83,-11.19,1.64,-2.93,-4.60,2.26
dimethyl_ether,-2.7,9.57,-7.72,1.85,-1.91,-3.39,2.17
dimethyl_sulfate,-8.13,14.6,-14.32,0.28,-5.1,-11.32,2.35
dimethyl_sulfide,-1.7,10.66,-8.7,1.96,-1.61,-2.20,2.21
dimethyl_sulfone,-11.21,12.67,-11.82,0.85,-10.08,-13.38,2.26
dimethyl_sulfoxide,-9.68,11.53,-10.17,1.36,-8.71,-10.41,2.23
dimethylamine,-4.72,9.72,-8.11,1.61,-4.29,-6.03,2.17
E_12_dichloroethene,-0.87,11.73,-9.66,2.07,-0.78,-1.45,2.22
E_but_2_enal,-5.82,12.88,-10.72,2.16,-4.22,-7.08,2.28
E_hept_2_ene,-0.43,18.35,-15.09,3.26,1.68,-0.63,2.51
E_hex_2_enal,-5.48,16.67,-14.41,2.26,-3.68,-6.66,2.43
E_oct_2_enal,-5.37,21.14,-18.24,2.9,-3.43,-6.54,2.58
ethanamide,-9.94,10.44,-9.12,1.32,-9.71,-12.86,2.18
ethane,0,9.19,-6.61,2.58,1.83,-0.02,2.15
ethanethiol,-2.49,10.61,-8.52,2.09,-1.14,-3.64,2.20
ethanol,-5.2,9.66,-7.91,1.75,-5,-7.27,2.17
ethene,-0.3,7.92,-5.26,2.66,1.28,-0.63,2.11
ethyl_acetate,-5.14,14.49,-12.58,1.91,-2.94,-6.19,2.36
ethyl_benzoate,-6.33,20.29,-18.64,1.65,-3.64,-7.52,2.55
ethyl_butanoate,-5.39,18.14,-15.79,2.35,-2.49,-5.96,2.50
ethyl_formate,-4.52,12,-10.47,1.53,-2.56,-6.20,2.26
ethyl_hexanoate,-5.43,21.8,-19.17,2.63,-2.23,-5.98,2.65
ethyl_pentanoate,-5.47,20.51,-18.13,2.38,-2.49,-6.14,2.58
ethyl_phenyl_ether,-4.12,17.61,-15.5,2.11,-2.22,-4.51,2.47
ethyl_propanoate,-5.51,16.75,-14.63,2.12,-2.68,-6.22,2.43
ethylamine,-5,10.06,-8.2,1.86,-4.5,-6.58,2.18
ethylbenzene,-2.76,16.96,-14.79,2.17,-0.79,-2.78,2.43
fluorene,-5.31,20.8,-19.78,1.02,-3.35,-5.53,2.57
fluorobenzene,-2.1,13.58,-11.55,2.03,-0.8,-2.70,2.31
fluoromethane,-1.61,6.99,-4.59,2.4,-0.22,-2.02,2.07
formaldehyde,-4.87,6.52,-4.87,1.65,-2.75,-6.39,2.05
halothane,-1.59,14.63,-12.34,2.29,-0.11,-2.08,2.30
hept_1_ene,-0.33,18.25,-14.95,3.3,1.66,-0.62,2.50
hept_1_yne,-0.8,17.36,-14.28,3.08,0.6,-1.22,2.48
heptan_1_ol,-5.09,19.39,-17.02,2.37,-4.21,-6.38,2.54
heptan_2_one,-5.3,19.21,-16.71,2.5,-3.04,-5.78,2.52
heptan_4_one,-5.19,18.67,-16.16,2.51,-2.92,-5.44,2.52
heptanal,-5.06,19.59,-17.16,2.43,-2.67,-5.89,2.52
hex_1_ene,-0.33,16.04,-13.12,2.92,1.58,-0.61,2.42
hex_1_yne,-0.81,15.84,-12.93,2.91,0.29,-1.23,2.40
hexa_15_diene,-0.65,15.45,-12.36,3.09,1.01,-1.16,2.39
hexafluoropropene,-1.17,13.53,-10.07,3.46,-3.76,-1.65,2.31
hexan_1_ol,-5.08,17.51,-15.46,2.05,-4.4,-6.34,2.46
hexan_2_one,-5.28,17.4,-14.89,2.51,-3.28,-5.81,2.45
hexan_3_ol,-4.96,17.25,-14.92,2.33,-4.06,-5.44,2.45
hexanal,-5.09,17.13,-15,2.13,-2.81,-6.02,2.45
hexanoic_acid,-6.93,18.23,-16.38,1.85,-6.21,-11.26,2.47
hydrazine,-8.36,6.5,-5.24,1.26,-9.3,-14.86,2.04
imidazole,-8.49,10.72,-10.08,0.64,-9.63,-10.05,2.19
indane,-2.97,17.16,-15.89,1.27,-1.46,-2.87,2.44
iodobenzene,-2.11,16.35,-14.58,1.77,-1.74,-2.84,2.37
iodoethane,-1.93,12.15,-10.32,1.83,-0.74,-2.63,2.23
iodomethane,-1.9,10.29,-8.36,1.93,-0.89,-2.72,2.14
isoamyl_acetate,-5.44,20.16,-17.77,2.39,-2.21,-6.39,2.55
isoamyl_formate,-5.17,17.78,-16,1.78,-2.13,-6.87,2.45
isobutyl_acetate,-5.23,18.27,-15.84,2.43,-2.36,-5.97,2.48
isobutyl_formate,-5,16.02,-14.23,1.79,-2.22,-6.39,2.40
isobutyl_isobutanoate,-5.29,22.03,-19.29,2.74,-1.69,-5.46,2.61
isobutylbenzene,-2.66,20.03,-17.37,2.66,0.16,-2.50,2.52
isobutyraldehyde,-4.98,13.04,-10.99,2.05,-2.86,-5.83,2.29
isoflurane,-4.21,16.26,-13.43,2.83,0.1,-6.02,2.39
isopropyl_acetate,-5.15,16.47,-14.24,2.23,-2.64,-6.03,2.40
isopropyl_formate,-4.37,14.01,-12.28,1.73,-2.02,-5.83,2.32
m_cresol,-6.94,15.71,-14.05,1.66,-5.49,-8.38,2.38
m_xylene,-2.71,16.72,-14.18,2.54,-0.83,-2.69,2.43
methane,0,6.66,-4.12,2.54,1.99,-0.01,2.06
methanesulfonyl_chloride,-6.85,12.2,-11.68,0.52,-4.87,-9.85,2.24
methanethiol,-2.25,8.5,-6.51,1.99,-1.24,-3.56,2.12
methanol,-5.15,7.07,-5.4,1.67,-5.1,-7.60,2.08
methoxyflurane,-2.49,15.75,-13.97,1.78,-1.12,-3.42,2.37
methyl_acetate,-5.44,12.63,-10.92,1.71,-3.13,-7.05,2.26
methyl_benzoate,-6.3,18.16,-16.92,1.24,-3.92,-7.87,2.46
methyl_butanoate,-5.36,16.45,-14.41,2.04,-2.83,-6.24,2.41
methyl_chloroacetate,-5.16,13.81,-12.57,1.24,-4,-6.93,2.31
methyl_cyanoacetate,-6.89,14.81,-13.43,1.38,-6.72,-9.46,2.34
methyl_cyclohexanecarboxylate,-5.51,19.8,-18.58,1.22,-3.3,-5.69,2.51
methyl_cyclohexyl_ketone,-5.38,18.59,-17.11,1.48,-3.9,-5.59,2.48
methyl_cyclopropanecarboxylate,-6.3,14.8,-12.99,1.81,-4.1,-6.77,2.37
methyl_cyclopropyl_ketone,-5.82,13.97,-11.89,2.08,-4.61,-5.48,2.34
methyl_ethyl_ether,-2.84,11.55,-9.53,2.02,-2.1,-3.10,2.26
methyl_ethyl_sulfide,-1.93,13.09,-10.82,2.27,-1.5,-2.34,2.29
methyl_formate,-4.48,10.2,-8.89,1.31,-2.78,-6.33,2.17
methyl_hexanoate,-5.36,20.53,-18.19,2.34,-2.49,-6.30,2.56
methyl_isopropyl_ether,-2.89,13.64,-11.5,2.14,-2.01,-2.97,2.31
methyl_methanesulfonate,-8.81,13.8,-13.28,0.52,-4.87,-11.56,2.30
methyl_octanoate,-5.31,23.96,-21.59,2.37,-2.04,-6.15,2.71
methyl_p_methoxybenzoate,-7.45,21.5,-20.37,1.13,-5.33,-9.47,2.56
methyl_p_nitrobenzoate,-6.27,20.94,-21.06,-0.12,-6.88,-8.14,2.54
methyl_pentanoate,-5.43,17.78,-15.86,1.92,-2.56,-6.44,2.49
methyl_propanoate,-5.47,14.21,-12.57,1.64,-2.93,-6.57,2.34
methyl_propyl_ether,-2.76,13.81,-11.46,2.35,-1.66,-3.19,2.33
methyl_t_butyl_ether,-2.95,15.4,-13.05,2.35,-2.21,-2.80,2.36
methyl_tert_butyl_ether,-2.9,15.21,-12.99,2.22,-2.21,-2.80,2.36
methyl_trifluoroacetate,-3.4,14.06,-12.05,2.01,-1.1,-5.00,2.32
methyl_trimethylacetate,-5.28,17.51,-15.22,2.29,-2.4,-5.74,2.45
methylamine,-5.13,7.4,-5.71,1.69,-4.55,-7.23,2.08
methylcyclohexane,0.01,16.28,-14.47,1.81,1.7,-0.05,2.42
methylcyclopentane,0,15.36,-13.24,2.12,1.59,-0.07,2.37
morpholine,-6.62,12.74,-12.4,0.34,-7.17,-7.65,2.28
N_acetylpyrrolidine,-8.86,16.36,-15.47,0.89,-9.8,-9.45,2.41
n_butane,0.01,12.66,-10.13,2.53,2.07,-0.04,2.30
n_butanethiol,-2.39,14.34,-12.07,2.27,-0.99,-3.55,2.34
n_butyl_acetate,-5.45,18.36,-16.08,2.28,-2.64,-6.45,2.50
n_butylacetamide,-9.76,17.84,-16.22,1.62,-9.31,-12.45,2.47
n_butylamine,-5.11,14.15,-11.86,2.29,-4.24,-6.79,2.32
n_butylbenzene,-2.76,20.03,-17.57,2.46,-0.4,-2.79,2.57
n_decane,0.01,24.93,-21.51,3.42,3.16,-0.08,2.74
n_heptane,0.01,19.36,-16.17,3.19,2.67,-0.06,2.52
n_heptylamine,-4.89,19.31,-17.14,2.17,-3.79,-6.47,2.54
n_hexane,0.01,16.97,-13.93,3.04,2.48,-0.05,2.45
n_hexyl_acetate,-5.49,22.22,-19.7,2.52,-2.26,-6.36,2.65
n_hexylamine,-4.88,18,-15.66,2.34,-3.95,-6.44,2.47
n_hexylbenzene,-2.71,24.44,-21.49,2.95,-0.04,-2.81,2.72
N_methylacetamide,-9.93,12.78,-11.24,1.54,-10,-11.21,2.27
N_methylaniline,-7.1,15.65,-14.29,1.36,-4.69,-7.83,2.39
N_methylmorpholine,-6.46,15.28,-14.69,0.59,-6.32,-6.23,2.35
N_methylpiperazine,-8.4,14.98,-14.88,0.1,-7.77,-8.21,2.36
N_methylpiperidine,-4.18,16.12,-15.15,0.97,-3.88,-3.82,2.38
n_nonane,0.01,23.04,-19.73,3.31,3.13,-0.07,2.67
n_octane,0.01,21.32,-18.2,3.12,2.88,-0.06,2.59
n_octylamine,-5.12,21.71,-18.97,2.74,-3.65,-6.79,2.62
n_pentane,0.01,15.13,-12.47,2.66,2.32,-0.04,2.37
n_pentyl_acetate,-5.4,20.38,-17.81,2.57,-2.51,-6.52,2.58
n_pentyl_propanoate,-5.96,22.07,-19.47,2.6,-2.11,-6.20,2.65
n_pentylamine,-5.12,16.2,-14.07,2.13,-4.09,-7.06,2.40
n_pentylbenzene,-2.75,21.98,-19.18,2.8,-0.23,-2.80,2.65
n_pentylcyclopentane,0,22.41,-20.02,2.39,2.55,-0.09,2.65
n_propanethiol,-2.41,12.78,-10.68,2.1,-1.06,-3.44,2.28
n_propyl_acetate,-5.3,16.12,-14.15,1.97,-2.79,-6.29,2.43
n_propyl_butyrate,-5.35,20.08,-17.61,2.47,-2.28,-5.84,2.58
n_propyl_formate,-5.03,14.07,-12.54,1.53,-2.48,-6.65,2.34
n_propyl_propanoate,-5.45,18.67,-16.17,2.5,-2.44,-6.13,2.51
n_propylamine,-4.83,11.63,-9.85,1.78,-4.39,-6.50,2.25
n_propylbenzene,-2.72,18.81,-16.08,2.73,-0.53,-2.75,2.50
n_propylcyclopentane,0,18.89,-16.74,2.15,2.13,-0.08,2.50
naphthalene,-4.51,17.55,-16.38,1.17,-2.4,-4.74,2.44
nitrobenzene,-3.63,15.58,-15.35,0.23,-4.12,-4.35,2.36
nitroethane,-2.47,11.83,-11.09,0.74,-3.71,-3.09,2.23
nitromethane,-2.53,9.82,-9.32,0.5,-4.02,-3.34,2.15
NN_dimethyl_p_methylbenzamide,-9.1,22.45,-20.86,1.59,-9.76,-10.76,2.60
NN_dimethyl_p_nitrobenzamide,-9.24,22.1,-22.78,-0.68,-11.95,-11.70,2.61
NN_dimethylaniline,-6.13,17.43,-16,1.43,-3.45,-5.81,2.45
NN_dimethylbenzamide,-9.17,20.12,-18.93,1.19,-9.29,-11.04,2.53
NN_dimethylformamide,-8.13,12.42,-11.15,1.27,-7.81,-9.01,2.26
non_1_ene,-0.33,21.61,-18.37,3.24,2.06,-0.64,2.64
nonan_1_ol,-5.1,22.84,-20.28,2.56,-3.88,-7.32,2.69
nonan_2_one,-5.29,22.75,-19.97,2.78,-2.49,-5.74,2.67
nonan_5_one,-5.2,22.57,-19.71,2.86,-2.64,-5.37,2.67
nonanal,-5.09,23.28,-20.7,2.58,-2.07,-6.02,2.67
o_cresol,-6.55,15.59,-14.13,1.46,-5.87,-8.16,2.37
o_toluidine,-6.81,15.42,-13.98,1.44,-5.53,-8.09,2.38
o_xylene,-2.75,16.68,-14.45,2.23,-0.9,-2.71,2.41
oct_1_ene,-0.33,19.89,-16.79,3.1,1.92,-0.62,2.57
oct_1_yne,-0.83,19.95,-16.66,3.29,0.71,-1.23,2.55
octan_1_ol,-5.13,21.16,-18.68,2.48,-4.09,-7.89,2.61
octan_2_one,-5.31,21.37,-18.36,3.01,-2.88,-5.74,2.60
octanal,-5.12,21.3,-18.75,2.55,-2.29,-6.10,2.59
p_cresol,-6.95,15.85,-14.26,1.59,-6.13,-8.67,2.38
p_dibromobenzene,-1.7,18.56,-16.87,1.69,-2.3,-2.39,2.41
p_toluidine,-6.91,15.77,-14.42,1.35,-5.57,-8.69,2.39
p_xylene,-2.71,16.58,-14.54,2.04,-0.8,-2.71,2.43
pent_1_ene,-0.34,14.06,-11.28,2.78,1.68,-0.61,2.35
pent_1_yne,-0.81,13.75,-11.01,2.74,0.01,-1.22,2.33
penta_14_diene,-0.7,13.5,-10.62,2.88,0.93,-1.30,2.32
pentachloroethane,-1.13,16.9,-15.46,1.44,-1.39,-1.50,2.37
pentan_1_ol,-5.13,15.15,-13.16,1.99,-4.57,-6.35,2.39
pentan_2_ol,-5.19,15.83,-13.51,2.32,-4.39,-6.20,2.38
pentan_2_one,-5.25,14.82,-12.86,1.96,-3.52,-5.81,2.38
pentan_3_ol,-4.89,15.17,-13.23,1.94,-4.35,-5.80,2.38
pentan_3_one,-5.23,15.4,-13.11,2.29,-3.41,-5.43,2.38
pentanal,-5.08,14.91,-12.79,2.12,-3.03,-5.96,2.37
pentanenitrile,-3.56,15.07,-12.75,2.32,-3.52,-4.08,2.38
pentanoic_acid,-7.01,16.04,-14.4,1.64,-6.16,-11.46,2.39
phenanthrene,-6,22.12,-21.27,0.85,-3.88,-6.22,2.58
phenol,-7.01,13.89,-12.55,1.34,-6.61,-8.84,2.31
phenyl_formate,-6.26,16.42,-14.99,1.43,-3.82,-8.55,2.40
phenyl_methyl_sulfide,-3.14,16.93,-15,1.93,-2.73,-3.68,2.42
phenyl_trifluoroethyl_ether,-5.49,19.55,-16.99,2.56,-1.29,-7.34,2.52
piperazine,-8.72,13.57,-13.19,0.38,-7.4,-9.20,2.29
piperidine,-4.68,14.23,-13.01,1.22,-5.11,-4.85,2.32
prop_2_en_1_ol,-5.18,10.81,-8.86,1.95,-5.03,-6.82,2.21
propan_1_ol,-5.1,11.76,-9.78,1.98,-4.85,-6.55,2.24
propan_2_ol,-5.29,11.82,-9.81,2.01,-4.74,-6.25,2.24
propane,0,10.87,-8.31,2.56,1.96,-0.03,2.23
propanenitrile,-3.61,11.54,-9.2,2.34,-3.84,-4.18,2.23
propanoic_acid,-7.64,11.77,-10.54,1.23,-6.46,-12.14,2.25
propanone,-5.31,11.35,-9.4,1.95,-3.8,-6.03,2.23
propene,-0.37,10.32,-7.51,2.81,1.32,-0.67,2.20
propionaldehyde,-5.06,11.21,-9.23,1.98,-3.43,-5.96,2.22
propyne,-0.87,9.57,-6.91,2.66,-0.48,-1.35,2.17
pyrene,-7.03,23.54,-23.13,0.41,-4.52,-7.02,2.62
pyridine,-4.75,12.45,-11.15,1.3,-4.69,-5.61,2.26
pyrrole,-5.16,11.23,-9.94,1.29,-4.78,-6.64,2.21
pyrrolidine,-4.89,12.5,-11.52,0.98,-5.48,-5.61,2.26
quinoline,-5.7,17.09,-16.26,0.83,-5.72,-6.45,2.42
sec_butylbenzene,-2.72,20.61,-17.85,2.76,-0.45,-2.63,2.54
styrene,-3.34,15.43,-13.41,2.02,-1.24,-3.56,2.40
teflurane,-1.99,12.89,-10.44,2.45,0.5,-2.75,2.28
tert_butylbenzene,-2.98,20.09,-17.53,2.56,-0.44,-2.74,2.52
tetrachloroethene,-0.09,15.15,-13.65,1.5,0.1,-0.09,2.31
tetrachloromethane,-0.13,13.85,-12.31,1.54,0.08,-0.18,2.27
tetrafluoromethane,-0.38,9.21,-6.41,2.8,3.12,-0.72,2.15
tetrahydrofuran,-3.3,12.19,-10.96,1.23,-3.47,-3.69,2.26
tetrahydropyran,-2.8,13.65,-12.63,1.02,-3.12,-3.03,2.32
thiophene,-1.88,11.57,-10.03,1.54,-1.42,-2.54,2.24
thiophenol,-3.26,14.68,-12.85,1.83,-2.55,-4.75,2.34
toluene,-2.7,14.41,-12.42,1.99,-0.89,-2.84,2.36
trans_14_dimethylcyclohexane,0.01,18.65,-16.61,2.04,2.11,-0.06,2.47
triacetyl_glycerol,-13.83,23.03,-22.51,0.52,-8.84,-18.17,2.61
tribromomethane,-0.7,14.58,-13,1.58,-2.13,-1.05,2.26
trichloroethene,-0.82,13.3,-11.49,1.81,-0.44,-1.11,2.27
trichloromethane,-1.23,11.84,-10.29,1.55,-1.08,-1.82,2.22
triethyl_phosphate,-11.94,23.13,-21.25,1.88,-7.54,-13.91,2.67
triethylamine,-4.28,17.72,-15.27,2.45,-3.22,-3.05,2.45
trimethoxy_methane,-5.97,16.04,-14.13,1.91,-4.42,-6.89,2.37
trimethoxymethylbenzene,-7.42,21.01,-19.42,1.59,-4.04,-8.13,2.60
trimethyl_phosphate,-11.33,16.51,-15.77,0.74,-8.7,-14.54,2.42
trimethylamine,-4.15,11.88,-10.05,1.83,-3.2,-4.23,2.24
undecan_2_one,-5.26,27,-23.86,3.14,-2.15,-6.01,2.82
Z_12_dichloroethene,-1.72,11.63,-9.6,2.03,-1.17,-2.22,2.21
Z_pent_2_ene,-0.42,14.76,-11.79,2.97,1.31,-0.63,2.34
water,-6.46,0,0,0,-6.46,6.46,0.00